HP:0000001	D009303,D008103,D018242,D008595,D000380,D004715,D012868,D007680,D008232,D010554,D014648,D020181,D018798,D002318,D006255,D012206,D006226,D007175,D006261,D008180,D009101,D055752,D014605,D007805,D007319,D005767,D002971,D002280,D013921,D005076,D018190,D006547,D010610,D020300,D012220,D006029,D007172,D009069,D016399,D003744,D009369,D016543,D008206,D007674,D015862,D004938,D061205,D008113,D014564,D003398,D004827,D006980,D001471,D002532,D005706,D003967,D015470,D003872,D000690,D001327,D019337,D009383,D012804,D055034,D009135,D009202,D003324,D006258,D004828,D005242,D011537,D003866,D009423,D020734,D013546,D016631,D056784,D000857,D006073,D006345,D010510,D001251,D015595,D005922,D007010,D002921,D001943,D001526,D015431,D006215,D001416,D016874,D004893,D000067877,D006402,D012640,D010024,D002386,D058729,D015212,D014820,D004485,D050197,D015433,D000740,D005764,D004941,D058225,D003680,D013684,D008258,D014550,D018879,D014786,D016649,D013966,D005910,D017098,D000783,D060825,D014012,D013285,D001249,D012559,D014571,D016757,D001714,D008594,D007889,D005124,D019958,D001746,D007806,D002545,D014681,D009410,D010049,D003092,D003731,D007037,D005234,D004066,D007662,D000505,D009373,D009062,D012393,D010900,D009421,D003704,D012164,D009290,D002583,D003286,D009196,D013959,D003924,D009220,D015207,D006976,D053713,D005921,D008531,D008269,D059445,D000686,D012891,D020326,D006967,D010020,D016889,D006552,D017379,D010190,D010182,D009380,D018376,D004487,D007822,D010954,D000071378,D008107,D010524,D054537,D009771,D015451,D018771,D012135,D004381,D007410,D015835,D011565,D007970,D013915,D002385,D012607,D008579,D003025,D012004,D003192,D008231,D000506,D054220,D013964,D001656,D012852,D004410,D011471,D000741,D018805,D020370,D009765,D006934,D010195,D004948,D006212,D002294,D011014,D014689,D006417,D003093,D010911,D000848,D000550,D001991,D001932,D005128,D020521,D017445,D016640,D012163,D003920,D014808,D006330,D016657,D006042,D006356,D019636,D008171,D007022,D008881,D007905,D002446,D006343,D002276,D018192,D006956,D008945,D001007,D009759,D029424,D014549,D018307,D006332,D029481,D006987,D011317,D016171,D001049,D014565,D020325,D001017,D007627,D017599,D006942,D010003,D055963,D008173,D010146,D002292,D006323,D008228,D047928,D014693,D014594,D000747,D009056,D006053,D009325,D001855,D007333,D003876,D009404,D014202,D008105,D006689,D001168,D006319,D012148,D001321,D013274,D009506,D020329,D012871,D051436,D006945,D006349,D018281,D013851,D010523,D019226,D001661,D065627,D000544,D054549,D011618,D017668,D012512,D010518,D005882,D010051,D001145,D005770,D003645,D005146,D001883,D006618,D014581,D000071056,D001014,D009447,D006111,D005901,D000037,D008545,D006939,D005483,D015464,D010254,D012628,D001161,D001281,D020821,D005757,D012142,D004701,D002114,D006627,D004890,D005530,D019043,D065631,D007938,D003424,D011470,D009396,D006327,D007592,D006996,D011656,D002543,D004700,D008548,D000419,D010040,D034381,D033461,D009205,D011304,D053040,D011507,D015179,D003922,D001024,D003449,D009203,D000361,D013771,D002825,D003027,D003638,D004421,D007024,D010014,D006970,D012509,D002972,D006528,D001480,D012141,D013736,D017563,D000374,D012878,D009898,D002289,D014718,D055959,D004387,D009393,D001749,D006333,D011225,D000799,D003221,D005923,D015354,D020961,D001172,D009845,D006973,D014071,D014839,D008223,D016893,D006505,D053099,D004412,D001821,D008569,D010033,D003294,D002493,D059350,D011085,D057180,D018302,D017545,D018358,D008175,D010008,D002769,D001289,D003110,D001660,D006617,D015210,D015430,D005891,D016728,D012516,D006948,D005909,D010198,D000066553,D009508,D001282,D058186,D010048,D016491,D002311,D050031,D005756,D051437,D009298,D007640,D011115,D018241,D009216,D005221,D004204,D006344
HP:0012145	D000741,D010198
HP:0005293	D014648,D014689
HP:0002637	D002545
HP:0033127	D012206,D006547,D003744,D061205,D003398,D055034,D009135,D006073,D002921,D006215,D001416,D010024,D003286,D009220,D015207,D010020,D006552,D000071378,D012852,D020370,D007627,D010003,D001168,D006618,D010254,D002114,D007592,D010014,D055959,D004387,D001172,D010008,D006617,D015210,D012516,D004204
HP:0100710	D007175
HP:0000025	D053713,D009845
HP:0001965	D000505
HP:0002664	D009303,D018242,D007680,D008232,D009101,D055752,D002280,D018190,D010610,D016399,D009369,D016543,D004938,D008113,D001471,D005706,D015470,D019337,D009383,D006258,D009423,D001943,D008258,D005910,D014571,D007889,D009373,D009062,D009196,D016889,D010190,D009380,D007822,D010954,D010524,D015451,D008579,D012004,D013964,D011471,D002294,D010911,D001932,D002276,D018192,D018307,D014565,D017599,D002292,D008228,D014594,D006689,D013274,D018281,D001661,D012512,D010051,D005770,D009447,D008545,D015464,D012142,D004701,D019043,D007938,D009396,D015179,D012509,D006528,D013736,D012878,D002289,D001749,D008223,D018302,D018358,D008175,D003110,D012516,D005909,D018241
HP:0010972	D018798,D000747
HP:0000077	D007680,D007674,D005922,D015433,D005921,D006417,D002292,D009404,D051436,D009396,D053040,D009393,D005923,D058186,D051437
HP:0001780	D006215,D000071378
HP:0031409	D008258,D017098,D006942,D000361
HP:0003474	D006987
HP:0002250	D015212,D003092,D012004,D003093,D015179,D003110
HP:0006297	D003744
HP:0004375	D016543,D009423,D005910,D010524,D008579,D001932,D002276,D009447,D018358,D005909
HP:0003674	D017668
HP:0010051	D006215,D000071378
HP:0000670	D003731
HP:0003003	D003110
HP:0005561	D000741,D001855,D010198
HP:0010866	D006552
HP:0001710	D013771
HP:0000131	D007889
HP:0011025	D020300,D012804,D018879,D016757,D006976,D054537,D007022,D016171,D006323,D014693,D065627,D001145,D001281,D006327,D002543,D001024,D009203,D007024,D006333,D006973,D001282
HP:0007378	D004938,D008113,D001471,D005706,D012004,D013274,D018281,D001661,D005770,D015179,D006528,D003110
HP:0000709	D011618
HP:0100847	D011565
HP:0004328	D001251,D002386,D007905,D007640
HP:0001881	D000380,D015470,D019337,D009196,D015451,D007970,D008231,D015464,D007938
HP:0100692	D007640
HP:0100575	D005706
HP:0031105	D004715,D007889,D016889,D014594
HP:0005978	D003924
HP:0000099	D015433,D005921
HP:0008110	D003025
HP:0001480	D008548
HP:0010786	D007680,D014571,D002292,D009396,D001749
HP:0000802	D007172
HP:0011354	D015595,D013684,D012393,D017445,D014581,D005483,D004890,D000799,D001821
HP:0000976	D004485
HP:0012578	D015433
HP:0100716	D016728
HP:0006515	D017563
HP:0007663	D000550
HP:0012718	D004938,D001471,D015212,D004941,D003092,D008531,D004381,D007410,D012004,D003093,D002446,D013274,D000071056,D005757,D006627,D015179,D003110,D005756
HP:0001678	D054537
HP:0012114	D016889
HP:0100280	D003424
HP:0005550	D015451
HP:0000504	D014786,D012607,D000550,D009898,D015354
HP:0030050	D009290
HP:0005558	D015451,D015464
HP:0006530	D017563
HP:0025270	D005764,D003680,D006356
HP:0011442	D020734,D002385,D001480
HP:0002017	D009325,D014839
HP:0012437	D005706,D002769
HP:0001332	D020821,D004421
HP:0001631	D006344
HP:0002894	D010190
HP:0002373	D003294
HP:0025033	D004938,D001471,D015212,D004941,D003092,D008531,D004381,D007410,D012004,D003093,D002446,D013274,D000071056,D005757,D006627,D015179,D003110,D005756
HP:0000517	D002386,D007905
HP:0007018	D001289
HP:0002615	D007022,D007024
HP:0011805	D012206,D009135,D003286,D009220,D002114,D004387
